date,ticker,name,market,close,volume,ma50,ma150,ma200,low_52w,high_52w,pct_above_low,pct_below_high,rs_rating,rs_line_up,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,pass_count,pass_all,data_warning,base_label
20260908,053260,금강철강,KOSDAQ,6660,7800579,5146.0,5053.0,4791.0,3720.0,8130.0,79.0,18.1,95.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,065690,파커스,KOSDAQ,1846,42483,1438.0,1396.0,1351.0,696.0,1955.0,165.2,5.6,95.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,089860,롯데렌탈,KOSPI,49600,128295,40468.0,34702.0,33881.0,26650.0,53100.0,86.1,6.6,95.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,121440,골프존홀딩스,KOSDAQ,8000,98540,6984.0,5574.0,5434.0,4090.0,8440.0,95.6,5.2,95.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,121890,에스디시스템,KOSDAQ,2595,224826,2174.0,1924.0,1865.0,1312.0,2960.0,97.8,12.3,95.0,True,True,True,True,True,True,True,True,True,8,True,False,2b차
20260908,137080,나래나노텍,KOSDAQ,6220,18459,5778.0,5290.0,4856.0,2860.0,7080.0,117.5,12.1,95.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,192820,코스맥스,KOSPI,265000,201589,216034.0,197017.0,190380.0,141000.0,306500.0,87.9,13.5,95.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,244920,에이플러스에셋,KOSPI,13740,27130,12112.0,11651.0,11024.0,5600.0,14990.0,145.4,8.3,95.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,011560,세보엠이씨,KOSDAQ,24800,105190,23001.0,20781.0,19262.0,11950.0,29300.0,107.5,15.4,94.0,True,True,True,True,True,True,True,True,True,8,True,False,4 형성중
20260908,024800,유성티엔에스,KOSDAQ,4730,73454,4305.0,4173.0,3749.0,2110.0,5980.0,124.2,20.9,94.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,025890,한국주강,KOSPI,2585,8130,2365.0,2059.0,1985.0,1494.0,2710.0,73.0,4.6,94.0,True,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,049430,코메론,KOSDAQ,21800,19857,20106.0,19033.0,17588.0,10180.0,23650.0,114.1,7.8,94.0,True,True,True,True,True,True,True,True,True,8,True,False,2a차
20260908,079940,가비아,KOSDAQ,42400,23604,41403.0,33971.0,33305.0,24500.0,47900.0,73.1,11.5,94.0,False,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,088350,한화생명,KOSPI,5850,2468988,4866.0,4835.0,4414.0,2930.0,7560.0,99.7,22.6,94.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,900260,로스웰,KOSDAQ,1876,182900,1658.0,1640.0,1558.0,857.0,2145.0,118.9,12.5,94.0,True,True,True,True,True,True,True,True,True,8,True,False,2a차
20260625,012510,,KOSPI,120000,50926,119796.0,106935.0,102116.0,60200.0,156000.0,99.3,23.1,93.0,False,True,True,True,True,True,True,True,True,8,True,False,1d차
20260908,013700,까뮤이앤씨,KOSPI,1629,245062,1493.0,1359.0,1309.0,997.0,2005.0,63.4,18.8,93.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,033560,블루콤,KOSDAQ,4485,11362,4434.0,3696.0,3504.0,2685.0,5490.0,67.0,18.3,93.0,False,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,036800,나이스정보통신,KOSDAQ,7390,63831,6265.0,5676.0,5497.0,4190.0,8060.0,76.4,8.3,93.0,True,True,True,True,True,True,True,True,True,8,True,False,1d차
20260908,041520,이엘씨,KOSDAQ,11350,17507,9987.0,9538.0,8926.0,6130.0,13620.0,85.2,16.7,93.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,044820,코스맥스비티아이,KOSPI,23200,42888,21859.0,18310.0,17093.0,11810.0,29150.0,96.4,20.4,93.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,073240,금호타이어,KOSPI,7240,1687841,6751.0,6078.0,6022.0,4220.0,8850.0,71.6,18.2,93.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,204610,티쓰리,KOSDAQ,3240,106866,3116.0,2773.0,2548.0,1660.0,3795.0,95.2,14.6,93.0,True,True,True,True,True,True,True,True,True,8,True,False,1b차
20260908,417310,코람코더원리츠,KOSPI,2365,92689,2225.0,2094.0,1995.0,1164.0,2370.0,103.2,0.2,93.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260515,451700,,KOSDAQ,3440,1176369,2722.0,2613.0,2600.0,2095.0,4020.0,64.2,14.4,93.0,False,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,053160,프리엠스,KOSDAQ,10350,25887,9273.0,8499.0,8116.0,6400.0,10750.0,61.7,3.7,92.0,True,True,True,True,True,True,True,True,True,8,True,False,1a차
20260625,057050,,KOSPI,87300,92478,82242.0,70847.0,66718.0,50000.0,96300.0,74.6,9.3,92.0,False,True,True,True,True,True,True,True,True,8,True,False,1b차
20260908,086790,하나금융지주,KOSPI,136800,451499,129478.0,121619.0,114822.0,80500.0,142500.0,69.9,4.0,92.0,True,True,True,True,True,True,True,True,True,8,True,False,3 형성중
20260908,093320,케이아이엔엑스,KOSDAQ,139000,5828,135986.0,120920.0,118852.0,80000.0,163700.0,73.8,15.1,92.0,False,True,True,True,True,True,True,True,True,8,True,False,3 형성중
20260908,094800,맵스리얼티,KOSPI,7240,183240,6415.0,6387.0,6099.0,4660.0,8190.0,55.4,11.6,92.0,True,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,275630,에스에스알,KOSDAQ,4240,40539,3795.0,3539.0,3377.0,2115.0,4750.0,100.5,10.7,92.0,True,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,340810,시선AI,KOSDAQ,3895,235997,3064.0,2976.0,2957.0,2105.0,4630.0,85.0,15.9,92.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,004770,써니전자,KOSPI,2160,2843415,1742.0,1686.0,1656.0,1418.0,2590.0,52.3,16.6,91.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,005830,DB손해보험,KOSPI,187300,197196,166408.0,165455.0,155387.0,118100.0,214000.0,58.6,12.5,91.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,017650,대림제지,KOSDAQ,10650,7860,9719.0,9320.0,8916.0,6960.0,10990.0,53.0,3.1,91.0,True,True,True,True,True,True,True,True,True,8,True,False,1b차
20260908,017890,한국알콜,KOSDAQ,14250,25407,13580.0,12486.0,12026.0,8840.0,16265.0,61.2,12.4,91.0,True,True,True,True,True,True,True,True,True,8,True,False,1d차
20260908,028670,팬오션,KOSPI,6080,3403280,5464.0,5355.0,5016.0,3485.0,6600.0,74.5,7.9,91.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,035610,솔본,KOSDAQ,4795,52957,4579.0,3952.0,3876.0,3155.0,5130.0,52.0,6.5,91.0,False,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,051160,지어소프트,KOSDAQ,9710,40116,8624.0,7900.0,7773.0,6270.0,11640.0,54.9,16.6,91.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,055550,신한지주,KOSPI,113200,776263,105612.0,99104.0,93994.0,63600.0,116500.0,78.0,2.8,91.0,True,True,True,True,True,True,True,True,True,8,True,False,2b차
20260908,084870,TBH글로벌,KOSPI,2170,8398,2071.0,1948.0,1776.0,1073.0,2460.0,102.2,11.8,91.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,180640,한진칼,KOSPI,148400,146398,122082.0,120375.0,118840.0,93100.0,175900.0,59.4,15.6,91.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260610,230360,,KOSDAQ,16000,102181,15993.0,14511.0,14233.0,8090.0,16300.0,97.8,1.8,91.0,False,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,078935,GS우,KOSPI,62600,4095,58540.0,56250.0,54324.0,41000.0,66800.0,52.7,6.3,90.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,086670,비엠티,KOSDAQ,16930,47835,15777.0,15103.0,14485.0,10180.0,22200.0,66.3,23.7,90.0,True,True,True,True,True,True,True,True,True,8,True,False,2b차
20260908,092230,KPX홀딩스,KOSPI,96000,2069,89538.0,84887.0,81966.0,64600.0,105400.0,48.6,8.9,90.0,True,True,True,True,True,True,True,True,True,8,True,False,1b차
20260908,105560,KB금융,KOSPI,173700,582946,170218.0,159738.0,151582.0,105800.0,194500.0,64.2,10.7,90.0,False,True,True,True,True,True,True,True,True,8,True,False,3 형성중
20260908,134060,이퓨쳐,KOSDAQ,5490,1128,5049.0,4469.0,4387.0,3530.0,5770.0,55.5,4.9,90.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,003490,대한항공,KOSPI,30100,2472599,27005.0,25891.0,25038.0,21000.0,31200.0,43.3,3.5,89.0,True,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,282330,BGF리테일,KOSPI,148600,45289,133504.0,130015.0,125042.0,101200.0,156600.0,46.8,5.1,89.0,True,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,000810,삼성화재,KOSPI,647000,98132,641600.0,568230.0,548838.0,419000.0,757000.0,54.4,14.5,88.0,False,True,True,True,True,True,True,True,True,8,True,False,1a차
20260908,093190,빅솔론,KOSDAQ,8520,13901,8355.0,7936.0,7463.0,5290.0,9870.0,61.1,13.7,88.0,False,True,True,True,True,True,True,True,True,8,True,False,3 형성중
20251029,234920,자이글,KOSDAQ,5310,131836,5302.0,4709.0,4460.0,2965.0,6880.0,79.1,22.8,88.0,False,True,True,True,True,True,True,True,True,8,True,False,2 형성중
20260908,003690,코리안리,KOSPI,14610,177460,14068.0,13279.0,12806.0,10010.0,15660.0,46.0,6.7,87.0,True,True,True,True,True,True,True,True,True,8,True,False,2b차
20260908,054940,엑사이엔씨,KOSDAQ,3875,171382,3630.0,3544.0,3484.0,2815.0,5150.0,37.7,24.8,87.0,False,True,True,True,True,True,True,True,True,8,True,False,베이스 없음
20260908,092730,네오팜,KOSDAQ,21900,70189,21079.0,19267.0,19132.0,15590.0,26000.0,40.5,15.8,87.0,True,True,True,True,True,True,True,True,True,8,True,False,1 형성중
20260908,096530,씨젠,KOSDAQ,31450,178074,29629.0,27323.0,26673.0,21700.0,35750.0,44.9,12.0,87.0,True,True,True,True,True,True,True,True,True,8,True,False,2 형성중
