asof,index_code,close,change_pct,above_ma50,above_ma200,ma200_rising,distribution_days,stall_days,signal,advice,top20_avg_change
20260910,KS11,6995.39,4.61,True,True,True,4,0건,주의,신규 진입 축소,1.08
20260910,KQ11,822.19,1.07,True,False,False,4,0건,주의,신규 진입 축소,1.08
