ticker,name,market,sector,industry
054300,팬스타엔터프라이즈,KOSDAQ,Industrials,Specialty Industrial Machinery
318160,셀바이오휴먼텍,KOSDAQ,Consumer Defensive,Household & Personal Products
048910,대원미디어,KOSDAQ,Communication Services,Entertainment
215360,우리산업,KOSDAQ,Consumer Cyclical,Auto Parts
251630,브이원텍,KOSDAQ,Technology,Scientific & Technical Instruments
137080,나래나노텍,KOSDAQ,Technology,Semiconductor Equipment & Materials
061040,알에프텍,KOSDAQ,Technology,Electronic Components
408470,한패스,KOSDAQ,Financial Services,Credit Services
439580,블루엠텍,KOSDAQ,Healthcare,Pharmaceutical Retailers
0007J0,인벤테라,KOSDAQ,Healthcare,Biotechnology
323350,다원넥스뷰,KOSDAQ,Industrials,Specialty Industrial Machinery
412350,레이저쎌,KOSDAQ,,(분류 없음)
007370,진양제약,KOSDAQ,Healthcare,Drug Manufacturers - Specialty & Generic
136150,원일티엔아이,KOSDAQ,Industrials,Specialty Industrial Machinery
060570,드림어스컴퍼니,KOSDAQ,Communication Services,Entertainment
053160,프리엠스,KOSDAQ,Technology,Electronic Components
411080,샌즈랩,KOSDAQ,,(분류 없음)
016250,SGC E&C,KOSDAQ,Industrials,Engineering & Construction
042110,에스씨디,KOSDAQ,,(분류 없음)
003310,대주산업,KOSDAQ,Consumer Defensive,Packaged Foods
039020,이건홀딩스,KOSDAQ,,(분류 없음)
950200,소마젠,KOSDAQ,Healthcare,Diagnostics & Research
070300,엑스큐어,KOSDAQ,Technology,Communication Equipment
027050,코리아나,KOSDAQ,Consumer Defensive,Household & Personal Products
039010,현대에이치티,KOSDAQ,Technology,Communication Equipment
025550,한국선재,KOSDAQ,Basic Materials,Steel
104540,코렌텍,KOSDAQ,Healthcare,Medical Devices
060310,3S,KOSDAQ,,(분류 없음)
091590,남화토건,KOSDAQ,Industrials,Engineering & Construction
460870,에스엠씨지,KOSDAQ,Consumer Cyclical,Packaging & Containers
347740,피엔케이피부임상연구센타,KOSDAQ,Healthcare,Diagnostics & Research
014470,부방,KOSDAQ,,(분류 없음)
155650,와이엠씨,KOSDAQ,Technology,Electronic Components
314140,알피바이오,KOSDAQ,Healthcare,Drug Manufacturers - Specialty & Generic
096610,알에프세미,KOSDAQ,,(분류 없음)
036120,서울평가정보,KOSDAQ,Financial Services,Financial Data & Stock Exchanges
033310,엠투엔,KOSDAQ,,(분류 없음)
064800,포니링크,KOSDAQ,Technology,Software - Application
286750,나노실리칸첨단소재,KOSDAQ,Technology,Electronic Components
170790,파이오링크,KOSDAQ,Technology,Software - Infrastructure
435570,에르코스,KOSDAQ,Consumer Defensive,Packaged Foods
191420,테고사이언스,KOSDAQ,,(분류 없음)
039610,화성밸브,KOSDAQ,,(분류 없음)
419080,엔젯,KOSDAQ,Technology,Computer Hardware
053050,지에스이,KOSDAQ,Utilities,Utilities - Regulated Gas
036090,위지트,KOSDAQ,Technology,Electronic Components
040610,SG&G,KOSDAQ,Industrials,Conglomerates
393970,대진첨단소재,KOSDAQ,Basic Materials,Specialty Chemicals
046940,우원개발,KOSDAQ,Industrials,Engineering & Construction
299660,셀리드,KOSDAQ,Healthcare,Biotechnology
122310,제노레이,KOSDAQ,Healthcare,Diagnostics & Research
205470,휴마시스,KOSDAQ,Healthcare,Medical Devices
033320,제이씨현시스템,KOSDAQ,Technology,Electronics & Computer Distribution
067170,오텍,KOSDAQ,Consumer Cyclical,Auto Manufacturers
057540,옴니시스템,KOSDAQ,,(분류 없음)
089230,THE E&M,KOSDAQ,,(분류 없음)
053270,구영테크,KOSDAQ,,(분류 없음)
457370,한켐,KOSDAQ,Technology,Electronic Components
037440,희림,KOSDAQ,Industrials,Engineering & Construction
459100,위츠,KOSDAQ,Technology,Electronic Components
039240,경남스틸,KOSDAQ,,(분류 없음)
192250,케이사인,KOSDAQ,Technology,Software - Infrastructure
040160,누리플렉스,KOSDAQ,Technology,Software - Application
273640,와이엠텍,KOSDAQ,Industrials,Electrical Equipment & Parts
056360,코위버,KOSDAQ,Technology,Communication Equipment
175140,아고스,KOSDAQ,Technology,Communication Equipment
452400,이닉스,KOSDAQ,Consumer Cyclical,Auto Parts
263600,덕우전자,KOSDAQ,Technology,Electronic Components
299170,더블유에스아이,KOSDAQ,Financial Services,Shell Companies
256630,포인트엔지니어링,KOSDAQ,Technology,Electronic Components
100590,머큐리,KOSDAQ,Technology,Communication Equipment
228340,동양파일,KOSDAQ,Basic Materials,Building Materials
476040,오가노이드사이언스,KOSDAQ,Healthcare,Biotechnology
122350,삼기,KOSDAQ,Consumer Cyclical,Auto Parts
066670,디티씨,KOSDAQ,,(분류 없음)
134580,탑코미디어,KOSDAQ,Technology,Communication Equipment
053450,세코닉스,KOSDAQ,Technology,Electronic Components
104620,노랑풍선,KOSDAQ,Consumer Cyclical,Leisure
082660,코스나인,KOSDAQ,,(분류 없음)
136410,아셈스,KOSDAQ,Basic Materials,Specialty Chemicals
063440,SM Life Design,KOSDAQ,,(분류 없음)
288180,케이피항공산업,KOSDAQ,Industrials,Aerospace & Defense
391710,코닉오토메이션,KOSDAQ,Financial Services,Shell Companies
054930,유신,KOSDAQ,Industrials,Engineering & Construction
418250,시큐레터,KOSDAQ,Technology,Software - Infrastructure
370090,퓨런티어,KOSDAQ,Industrials,Specialty Industrial Machinery
024910,경창산업,KOSDAQ,Consumer Cyclical,Auto Parts
081180,쎄크,KOSDAQ,Industrials,Specialty Industrial Machinery
072990,에이치시티,KOSDAQ,Technology,Semiconductors
046210,HLB파나진,KOSDAQ,,(분류 없음)
187420,HLB제넥스,KOSDAQ,Basic Materials,Specialty Chemicals
023440,제이스코홀딩스,KOSDAQ,Basic Materials,Steel
145170,노브랜드,KOSDAQ,Consumer Cyclical,Apparel Manufacturing
457600,벡트,KOSDAQ,Technology,Information Technology Services
071670,에이테크솔루션,KOSDAQ,,(분류 없음)
033230,인성정보,KOSDAQ,Technology,Communication Equipment
260930,씨티케이,KOSDAQ,Industrials,Specialty Business Services
053980,오상자이엘,KOSDAQ,Technology,Software - Application
241790,티이엠씨씨엔에스,KOSDAQ,Technology,Semiconductor Equipment & Materials
143540,영우디에스피,KOSDAQ,,(분류 없음)
317830,에스피시스템스,KOSDAQ,Industrials,Specialty Industrial Machinery
471820,셀로맥스사이언스,KOSDAQ,Healthcare,Pharmaceutical Retailers
094940,푸른로보틱스,KOSDAQ,,(분류 없음)
179900,유티아이,KOSDAQ,Technology,Electronic Components
302430,이노메트리,KOSDAQ,Industrials,Specialty Industrial Machinery
317530,에피소드컴퍼니,KOSDAQ,Communication Services,Entertainment
064240,홈캐스트,KOSDAQ,,(분류 없음)
038010,제일테크노스,KOSDAQ,Basic Materials,Steel
0013V0,삼진식품,KOSDAQ,Consumer Defensive,Packaged Foods
109080,옵티시스,KOSDAQ,,(분류 없음)
014950,삼익제약,KOSDAQ,Healthcare,Biotechnology
198080,캐프,KOSDAQ,Technology,Communication Equipment
311690,CJ 바이오사이언스,KOSDAQ,Healthcare,Biotechnology
217500,러셀,KOSDAQ,Technology,Semiconductor Equipment & Materials
950220,네오이뮨텍,KOSDAQ,Healthcare,Biotechnology
440290,HB인베스트먼트,KOSDAQ,Financial Services,Asset Management
015710,코콤,KOSDAQ,,(분류 없음)
294140,레몬,KOSDAQ,Consumer Cyclical,Textile Manufacturing
461030,아이엠비디엑스,KOSDAQ,Healthcare,Diagnostics & Research
037950,엘컴텍,KOSDAQ,Technology,Communication Equipment
0010V0,제이피아이헬스케어,KOSDAQ,Healthcare,Medical Devices
101670,하이드로리튬,KOSDAQ,,(분류 없음)
060560,HC홈센타,KOSDAQ,Basic Materials,Building Materials
082850,우리바이오,KOSDAQ,,(분류 없음)
051390,YW,KOSDAQ,Technology,Communication Equipment
224110,에이텍모빌리티,KOSDAQ,Technology,Communication Equipment
376290,씨유테크,KOSDAQ,Technology,Electronic Components
288330,파라택시스코리아,KOSDAQ,Financial Services,Capital Markets
072470,우리산업홀딩스,KOSDAQ,Consumer Cyclical,Auto Parts
127710,아시아경제,KOSDAQ,Communication Services,Internet Content & Information
094970,제이엠티,KOSDAQ,,(분류 없음)
092300,현우산업,KOSDAQ,Technology,Electronic Components
007680,대원,KOSDAQ,Industrials,Conglomerates
340810,시선AI,KOSDAQ,Technology,Software - Infrastructure
222420,쎄노텍,KOSDAQ,Basic Materials,Specialty Chemicals
317850,대모,KOSDAQ,Industrials,Farm & Heavy Construction Machinery
019990,에너토크,KOSDAQ,,(분류 없음)
463480,모티브링크,KOSDAQ,Technology,Electronic Components
052790,액토즈소프트,KOSDAQ,Communication Services,Electronic Gaming & Multimedia
384470,코어라인소프트,KOSDAQ,Healthcare,Diagnostics & Research
189980,흥국에프엔비,KOSDAQ,Consumer Defensive,Beverages - Non-Alcoholic
352910,오비고,KOSDAQ,Technology,Software - Infrastructure
024950,삼천리자전거,KOSDAQ,Consumer Cyclical,Leisure
317690,퀀타매트릭스,KOSDAQ,Healthcare,Medical Devices
086060,진바이오텍,KOSDAQ,,(분류 없음)
114450,그린생명과학,KOSDAQ,,(분류 없음)
190650,코리아에셋투자증권,KOSDAQ,Financial Services,Capital Markets
048770,TPC로보틱스,KOSDAQ,,(분류 없음)
413640,비아이매트릭스,KOSDAQ,Technology,Software - Infrastructure
129890,앱코,KOSDAQ,Technology,Computer Hardware
066130,하츠,KOSDAQ,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
321260,프로이천,KOSDAQ,,(분류 없음)
056700,신화인터텍,KOSDAQ,Basic Materials,Specialty Chemicals
073110,엘엠에스,KOSDAQ,,(분류 없음)
065130,탑엔지니어링,KOSDAQ,Technology,Semiconductor Equipment & Materials
025880,케이씨피드,KOSDAQ,,(분류 없음)
